verify_date_raw,verify_date_raw_count,verify_date_type,verify_date,verify_date_start,verify_date_end,verify_date_prepost,verify_date_notes
Aug 2020 - April 2021,1,range ,,2020-08-01,2021-05-31,,
Aug-Oct 2020,1,range ,,2020-08-01,2020-10-31,,
Aug-Sep 2014,1,range ,,2014-08-01,2014-09-30,,
Aug-Sept 2020,1,range ,,2020-08-01,2020-09-30,,
Aug2017-Jul2018,1,range ,,2017-08-01,2018-07-31,,
Aug5 - Sep30 2021,1,range ,,2021-08-05,2021-09-30,,
Between 2015 - 2017,1,range ,,2015-01-01,2017-12-31,,
Feb- April 2016,1,range ,,2016-02-01,2016-04-30,,
Feb-Mar 2015,1,range ,,2015-02-01,2015-03-31,,
Jan - Apr 2015,1,semester,,2015-01-01,2015-04-30,,
Jan - Aug 2014,1,range ,,2014-01-01,2014-08-31,,
Jan-June 2021,1,range ,,2021-01-01,2021-06-30,,
Jul - Sep 2016,1,quarter,,2016-07-01,2016-09-30,,
"Jul 19 - 22, 2021",1,range ,,2021-07-22,2021-07-22,,
Jul 1st-22nd 2020,1,range ,,2020-07-01,2020-07-22,,
Jul-21,1,month,,2021-07-01,2021-07-31,,
Jul-Dec 2015,1,range ,,2015-07-01,2015-12-31,,
Jul-Sep 2016,1,quarter,,2016-07-01,2016-09-30,,
July-Aug 2021,1,semester,,2021-07-01,2021-08-31,,
Jun - Dec 2014,1,range ,,2014-07-01,2014-12-31,,
Jun - Jul 2015 (summer),1,range ,,2015-06-01,2015-07-31,,
Jun - Jul 2020,1,range ,,2020-06-01,2020-07-31,,
Jun - Sep 2009,1,range ,,2009-06-01,2009-09-30,,
Jun - Sep 2014,1,range ,,2014-06-01,2014-09-30,,
Jun - Sep 2017,1,range ,,2017-06-01,2017-09-30,,
Jun - Sep 2020,1,range ,,2020-06-01,2020-09-30,,
"Jun 12 - Aug 22, 2020",1,range,,2020-06-21,2020-08-22,,
"Jun 12th, 2020",1,day,2020-06-12,,,,
"Jun 22-27, 2019",1,range,,2019-06-22,2019-06-27,,
Jun-Jul 2009,1,range,,2009-06-01,2009-07-31,,
Jun-July 2021,1,range ,,2021-06-01,2021-07-31,,
Jun-Sep 2014,1,range ,,2014-06-01,2014-09-30,,
Jun22-Aug10 2019 / May-Jun15 2021,1,range,,2019-06-22,2019-08-10,,Record has 2020 install year so used Jun22-Aug10 2019
June 2019 and July 2020,1,month,,2020-07-01,2020-07-31,,Install year was 2020 so used July 2020
June-July 2017,1,range,,2017-06-01,2017-07-31,,
June-Nov 2016,1,range,,2016-06-01,2016-11-30,,
June-Sept 2012,1,range,,2012-06-01,2012-09-30,,
Late Summer 2016,1,semester,,2016-07-01,2016-08-31,,"Treated as Summer 2016 and ignored ""Late"""
Late Winter/Spring 2013,1,semester,,2013-05-01,2013-06-30,,Used Spring instead of Winter
May - Jul 2018,1,range,,2018-05-01,2018-07-31,,
May - July 2013,1,range,,2013-05-01,2013-07-31,,
May - July 2016 (summer 2016),1,range,,2016-05-01,2016-07-31,,
May - July 2019,1,range,,2019-05-01,2019-07-31,,
May - Sep 2015,1,range,,2015-05-01,2015-09-30,,
May - Sep 2019* (+1),1,range,,2019-05-01,2019-09-30,,Removed * (+1)
May -Nov 2016,1,range,,2016-05-01,2016-11-30,,
May 2002 - Dec 2005,1,range,,2002-05-01,2005-12-31,,
May 2016 - Aug 2017,1,range ,,2016-05-01,2017-08-31,,
May-Nov 2016,1,range,,2016-05-01,2016-08-31,,
May-Oct 2014,1,range,,2014-05-01,2014-10-31,,
May-Sept 2015,1,range,,2015-05-01,2015-09-30,,
"Mid October, 2022",1,month,,2022-10-01,2022-10-31,,"Treated as October and ignored ""Mid"""
OCT2014 - MAY2015 (Winter/Spring 2015),1,range,,2014-10-01,2015-05-31,,
Oct - Dec 2021,1,range,,2021-10-01,2021-12-31,,
Oct - Nov 2016,1,range,,2016-10-01,2016-11-30,,
Oct 2011 - Apr 2012,1,range,,2011-10-01,2012-04-30,,
Oct 2011 - May 2012**,1,range,,2011-10-01,2012-05-31,,
Oct 2013 - May 2014,1,range,,2013-10-01,2014-05-31,,
Oct 2016 - Jun 2017,1,range,,2016-10-01,2017-06-30,,
Oct 2016 - May 2017,1,range,,2016-10-01,2017-05-31,,
Oct 2021 - Mar 2022,1,range,,2021-10-01,2022-03-31,,
"Oct 22, 2014 - Jan 15, 2015*",1,range,,2014-10-22,2015-01-15,,
Oct-Dec 2020,1,range,,2020-10-01,2020-12-31,,
PBL,1,,,,,,Not a date
Pre-1009,1,pre_year,,,,2009,Assumed typo from 1009 to 2009
Pre2007,1,pre_year,,,,2007,
Sep - Dec 2017,1,range,,2017-09-01,2017-12-31,,
"Sep 13 - 18, 2021",1,range,,2021-09-13,2021-09-18,,
